title,budget,revenue
The Shape of Water,1940000,194349972
Moonlight,4000000,65046687
Spotlight,20000000,88346473
Birdman or (The Unexpected Virtue of Ignorance),18000000,103215094
12 Years a Slave,20000000,187000000
Argo,44500000,232324128
The Artist,15000000,133432856
The King's Speech,15000000,414211549
The Hurt Locker,15000000,42000000
Slumdog Millionaire,15000000,377910544
No Country for Old Men,25000000,171600000
The Departed,90000000,289847354
Crash,10000000,98401061
Million Dollar Baby,30000000,216763646
The Lord of the Rings: The Return of the King,79000000,926287400
Chicago,45000000,306776732
A Beautiful Mind,60000000,313542341
Gladiator,103000000,457640427
American Beauty,15000000,356296601
Shakespeare in Love,25000000,289317794
Titanic,200000000,1845034188
The English Patient,27000000,231976425
Braveheart,72000000,210000000
Forrest Gump,55000000,677945399
Schindler's List,22000000,321365567
Unforgiven,14000000,159157447
