Film,Year,Ceremony,Award,Winner,Name,Budget,Revenue,Genre,City,Lat,Lon,Imdb,Metacritic,Rottentomatoes
Darkest Hour,2017,90,Actor in a Leading Role,1,Gary Oldman,30000000,64626786,Biography,London,51.5074,0.1278,74,75,85
Manchester by the Sea,2016,89,Actor in a Leading Role,1,Casey Affleck,9000000,75026965,Drama,Falmouth,50.1526,5.0663,78,96,95
The Revenant,2015,88,Actor in a Leading Role,1,Leonardo DiCaprio,1000500,55561162,Drama,Hollywood,34.0928,118.3287,76,80,80
The Theory of Everything,2014,87,Actor in a Leading Role,1,Eddie Redmayne,15000000,123726688,Biography,London,51.5074,0.1278,69,77,78
Dallas Buyers Club,2013,86,Actor in a Leading Role,1,Matthew McConaughey,5000000,55198285,Biography,Uvalde,29.2097,99.7862,84,80,93
Lincoln,2012,85,Actor in a Leading Role,1,Daniel Day-Lewis,65000000,275293450,Biography,London,51.5074,0.1278,86,74,90
The Artist,2011,84,Actor in a Leading Role,1,Jean Dujardin,15000000,133432856,Comedy,Hauts-De-Seine,48.8285,2.2188,89,79,95
The King's Speech,2010,83,Actor in a Leading Role,1,Colin Firth,15000000,414211549,Biography,Hampshire,51.0577,1.3081,88,80,95
Crazy Heart,2009,82,Actor in a Leading Role,1,Jeff Bridges,7000000,39462438,Drama,Los Angeles,34.0522,118.2437,83,73,91
Milk,2008,81,Actor in a Leading Role,1,Sean Penn,20000000,54586584,Biography,Santa Monica,34.0195,118.4912,84,76,94
There Will Be Blood,2007,80,Actor in a Leading Role,1,Daniel Day-Lewis,25000000,77208711,Drama,London,51.5074,0.1278,93,81,91
The Last King of Scotland,2006,79,Actor in a Leading Role,1,Forest Whitaker,6000000,48027970,Biography,Longview,32.5007,94.7405,74,77,87
Capote,2005,78,Actor in a Leading Role,1,Philip Seymour Hoffman,7000000,49084830,Biography,Fairport,43.0987,77.4419,88,74,90
Ray,2004,77,Actor in a Leading Role,1,Jamie Foxx,40000000,124731534,Biography,Terrell,32.736,96.2753,73,77,81
Mystic River,2003,76,Actor in a Leading Role,1,Sean Penn,25000000,156822020,Crime,Santa Monica,34.0195,118.4912,84,80,87
The Pianist,2002,75,Actor in a Leading Role,1,Adrien Brody,35000000,120072577,Biography,Woodhaven,42.139,83.2418,85,85,95
Training Day,2001,74,Actor in a Leading Role,1,Denzel Washington,45000000,104876233,Crime,Mount Vernon,37.3529,84.3405,69,77,72
Gladiator,2000,73,Actor in a Leading Role,1,Russell Crowe,103000000,457640427,Action,Wellington,41.2865,174.7762,67,85,77
American Beauty,1999,72,Actor in a Leading Role,1,Kevin Spacey,15000000,356296601,Drama,South Orange,40.7489,74.261,86,84,88
Life Is Beautiful,1998,71,Actor in a Leading Role,1,Roberto Benigni,20000000,229400000,Comedy,Tuscany,43.7711,11.2486,59,86,80
As Good as It Gets,1997,70,Actor in a Leading Role,1,Jack Nicholson,50000000,314178011,Comedy,Neptune,40.2091,74.0386,67,77,84
Shine,1996,69,Actor in a Leading Role,1,Geoffrey Rush,5000500,35811509,Biography,Toowoomba,27.5598,151.9507,87,77,91
Leaving Las Vegas,1995,68,Actor in a Leading Role,1,Nicolas Cage,3600000,49800000,Drama,Long Beach,33.7701,118.1937,82,76,90
Forrest Gump,1994,67,Actor in a Leading Role,1,Tom Hanks,55000000,677945399,Drama,Concord,37.978,122.0311,88,82,72
Philadelphia,1993,66,Actor in a Leading Role,1,Tom Hanks,26000000,206678440,Drama,Concord,37.978,122.0311,77,66,78
Scent of a Woman,1992,65,Actor in a Leading Role,1,Al Pacino,31000000,134095253,Drama,Harlem,40.8116,73.9465,80,59,88
