name,year,genre1,genre2
The Revenant,2015,Adventure,Drama
 The Theory of Everything,2014,Biography,Drama
 Dallas Buyers Club,2013,Biography,Drama
 Lincoln,2012,Biography,Drama
 The Artist,2011,Comedy,Drama
 The King's Speech,2010,Biography,Drama
 Crazy Heart,2009,Drama,Music
 Milk,2008,Biography,Drama
 There Will Be Blood,2007,Drama,
 The Last King of Scotland,2006,Biography,Drama
 Capote,2005,Biography,Crime
 Ray,2004,Biography,Drama
 Mystic River,2003,Crime,Drama
 The Pianist,2002,Biography,Drama
 Training Day,2001,Crime,Drama
 Gladiator,2000,Action,Drama
 American Beauty,1999,Drama,Romance
 Life Is Beautiful,1998,Comedy,Drama
 As Good As It Gets,1997,Comedy,Drama
 Shine,1996,Biography,Drama
 Leaving Las Vegas,1995,Drama,Romance
